example_id,prediction
11157,1
14442,1
12412,1
13497,1
15276,1
12274,1
12309,1
14545,1
14939,1
11378,1
10440,1
14798,1
12141,1
10253,1
10840,1
12939,1
12971,1
11923,1
11889,1
14746,1
14148,1
14048,1
13599,1
13274,1
11605,1
12797,1
11353,1
10999,1
14413,1
15163,1
11900,1
13140,1
15197,1
14345,1
11444,1
10919,1
11101,1
12224,1
11563,1
12165,1
11394,1
11452,1
13315,1
11213,1
14490,1
14243,1
10680,1
13639,1
10439,1
11533,1
11447,1
11001,1
13792,1
11779,1
10866,1
12946,1
13050,1
14772,1
10849,1
14761,1
10962,1
12879,1
15204,1
13977,1
15074,1
14625,1
13700,1
13962,1
10025,1
13854,1
11671,1
13411,1
12867,1
11019,1
15068,1
14583,1
12779,0
13340,1
14293,1
10275,1
12370,1
12112,1
14052,1
12545,1
13122,1
14070,1
13477,1
14316,1
13496,1
14697,1
12101,1
11579,1
15213,1
10801,1
13424,1
11422,1
13740,1
12011,1
14460,1
10332,1
12823,1
10552,0
13150,1
13812,1
11376,1
10763,1
13911,1
10716,1
15259,1
11306,1
14911,1
12388,1
12835,1
10697,1
10196,1
13582,1
11777,1
11695,1
11052,1
11802,1
11205,1
10128,1
14439,1
10409,1
13645,1
10073,1
11685,1
12263,1
14153,1
10144,1
11738,1
12610,1
14397,1
14794,1
12248,1
11590,1
14542,1
12330,1
14764,1
14738,1
10989,1
11411,1
14071,1
10103,1
13656,1
13066,1
13159,1
12699,1
13944,1
10814,1
12965,1
13768,1
11202,1
12535,1
12803,1
11934,1
13781,1
12347,1
14160,0
15091,1
10083,1
13432,1
13069,1
11525,1
12552,1
10888,1
10677,1
13352,1
13298,0
11303,1
11912,1
11137,1
14100,1
12755,1
11753,1
13408,1
11443,1
12732,1
11433,1
10578,1
11791,1
10403,1
14364,1
13244,1
10837,1
10465,1
15039,1
14281,1
12187,1
13103,1
10444,0
12034,1
13019,1
14185,1
15277,1
14404,0
12952,1
10374,1
14810,1
11212,1
12883,1
10995,1
14992,1
10629,1
13081,1
11560,1
10328,1
13829,1
14892,1
11459,1
10727,1
15122,1
14551,1
14167,1
10862,1
12449,1
12297,1
12016,0
15009,1
11217,1
12250,1
15312,1
10385,1
13222,1
14010,1
13016,1
10478,1
13790,1
13841,1
13113,1
12410,1
15119,1
12669,1
11874,1
10158,1
14878,1
11677,1
10229,1
14053,1
10567,1
10535,1
12205,1
13305,1
12503,1
14502,1
13628,1
10926,1
13136,1
13157,1
15013,0
13130,1
10211,1
13847,1
14895,1
13514,1
11339,1
14908,1
15184,0
12698,1
14741,1
12474,1
14041,1
12444,1
11894,1
12649,1
11257,1
12970,1
15123,1
10991,0
10806,1
15215,1
10607,1
14747,1
10816,1
11631,1
12018,1
14607,1
14272,1
10981,1
14768,1
13365,1
11193,1
14910,1
14257,1
12635,1
10214,0
15267,1
10149,1
12601,1
11884,1
13399,1
11747,1
12722,1
13439,1
14955,1
13759,1
11100,1
10842,1
13145,1
14454,1
13952,1
12903,1
12524,1
15173,1
14181,1
13172,1
14573,1
15021,1
11561,1
11262,1
13267,1
15027,1
10950,1
11126,1
12648,0
10098,1
10086,1
11835,1
14648,1
10749,1
14132,1
14101,1
11344,1
14457,1
12106,1
14770,1
10266,1
11976,1
13235,1
11675,1
13887,1
12261,1
14814,1
12707,1
10296,1
11524,1
14653,1
11499,1
12133,1
14600,1
12850,1
11983,1
13166,1
15121,1
10249,1
10068,1
15030,1
13617,1
13976,0
14959,1
12778,1
11522,0
10340,1
11832,1
12837,1
11515,1
13601,1
10303,1
12506,1
13035,1
14718,1
14580,1
14260,1
12815,1
11593,1
12579,1
12972,1
12134,1
12342,1
11950,1
14450,0
14575,1
11534,1
11902,1
12667,1
12605,1
14250,1
14708,1
