example_id,prediction
6783,1
6505,1
6185,0
6242,1
6092,0
6019,1
6771,0
6345,1
6348,1
6384,1
6180,0
6209,0
6108,1
6009,0
6442,0
6001,0
6106,0
6018,0
6070,1
6614,1
6065,1
6492,1
6500,1
6373,1
6181,0
6064,0
6171,0
6182,1
6470,1
6219,1
6392,0
6402,1
6069,1
6428,0
6679,0
6421,0
6067,1
6600,0
6759,1
6565,1
6724,0
6355,0
6527,0
6460,0
6629,1
6168,1
6339,1
6672,1
6169,1
6781,1
6307,0
6264,0
6093,1
6372,0
6179,0
6186,0
6259,1
6620,0
6375,0
6502,0
6729,1
6464,1
6659,1
6673,0
6310,0
6053,1
6316,0
6558,1
6556,0
6232,1
6143,1
6256,0
6281,1
6229,0
6734,0
6129,0
6411,0
6061,1
6448,1
6135,1
6454,1
6148,0
6666,0
6539,1
6777,1
6032,1
6089,1
6506,0
6052,0
6008,0
6723,1
6273,1
6632,0
6066,0
6165,1
6128,1
6473,1
6094,1
6736,0
6352,1
6005,0
6313,1
6354,0
6772,0
6769,1
6756,0
6211,0
6006,1
6364,0
6799,0
6283,1
6547,1
6320,1
6495,0
6166,1
6605,0
6766,1
6616,1
6651,0
6576,0
6297,0
6226,0
6583,0
6379,1
6227,0
6449,0
6123,1
6376,0
6447,0
6390,1
6642,1
6537,0
6265,1
6217,1
6130,0
6299,1
6159,1
6559,0
6740,1
6709,1
6778,0
6170,1
6291,1
6132,0
6649,0
6568,1
6397,0
6328,0
6257,1
6554,1
6003,1
6573,0
6633,1
6027,1
6292,1
6230,1
6114,1
6127,1
6222,1
6700,1
6533,0
6246,1
6525,0
6195,0
6532,0
6451,1
6369,0
6091,0
6698,0
6189,1
6466,0
6794,1
6162,0
6038,0
6031,0
6610,1
6391,0
6591,1
6645,1
6007,1
6597,1
6694,1
6333,0
6663,1
6322,1
6538,0
6338,1
6774,1
6413,1
6681,1
6493,1
6426,1
6548,0
6021,1
6599,1
6703,0
6011,1
6749,0
6104,1
6100,1
